"treatment_ordered","treat1","treat2_felon","treat_combined","registered","v_pres_general_12","v08","returned","returntoprison","ageonelecday","f_contype","f_daysserved","timesincerelease"
1,0,0,0,0,"0",NA,0,0,23.8031539916992,"ROBBERY, THIRD DEGREE",730.261047363281,1.86605513095856
1,0,0,0,0,"0",0,0,0,43.0719985961914,"ROBBERY, THIRD DEGREE",595.18603515625,0.932002365589142
3,0,1,1,0,"0",0,0,0,28.7708644866943,"SALE OF CONTROLLED SUBSTANCE",342.748931884766,1.2789785861969
1,0,0,0,0,"0",NA,0,0,33.7417831420898,"BURGLARY, THIRD DEGREE",815.592956542969,2.88774752616882
2,1,0,1,0,"0",NA,0,0,40.1370086669922,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE",666.48779296875,2.94605183601379
2,1,0,1,0,"0",NA,0,0,21.7354640960693,"SALE OF CONTROLLED SUBSTANCE",413.247161865234,0.474305033683777
3,0,1,1,0,"0",NA,0,1,23.8561630249023,"POSSESSION OF NARCOTICS",135.705703735352,3.29932999610901
1,0,0,0,0,"0",NA,0,0,41.2773780822754,"LARCENY, SECOND DEGREE",963.749694824219,2.37347817420959
3,0,1,1,1,"1",0,1,0,28.3552093505859,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE",351.727020263672,1.87314915657043
1,0,0,0,0,"0",NA,0,0,54.697151184082,"POSSESSION OF NARCOTICS",380.492767333984,3.13282155990601
3,0,1,1,0,"0",NA,0,0,24.8456401824951,"CRIM VIOL OF PROTECTIVE ORDER",546.656921386719,3.40183544158936
1,0,0,0,0,"0",NA,0,0,34.5616722106934,"BURGLARY, THIRD DEGREE",235.854431152344,3.13129377365112
1,0,0,0,0,"0",NA,0,0,43.6073722839355,"CRIM VIOL OF PROTECTIVE ORDER",386.243682861328,2.50348925590515
2,1,0,1,0,"0",NA,0,0,28.6043434143066,"SALE OF CONTROLLED SUBSTANCE",698.43994140625,2.53010296821594
3,0,1,1,0,"0",0,1,0,44.7815322875977,"ASSAULT ON POLICE OR FIRE OFFICER",242.104476928711,1.82838869094849
3,0,1,1,0,"0",0,1,0,26.6874885559082,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE",334.893920898438,2.5098123550415
1,0,0,0,0,"0",NA,0,0,42.264762878418,"LARCENY, FIRST DEGREE",696.242004394531,2.49471998214722
2,1,0,1,0,"0",0,1,0,29.8395500183105,"ROBBERY, FIRST DEGREE",254.665420532227,2.52920389175415
2,1,0,1,0,"0",NA,1,0,34.5231590270996,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE",867.721740722656,3.28836512565613
1,0,0,0,0,"0",NA,0,0,44.2069625854492,"POSSESSION OF NARCOTICS",676.145690917969,2.33882164955139
1,0,0,0,0,"0",0,0,0,65.181770324707,"POSSESSION OF NARCOTICS",335.400543212891,2.37569403648376
1,0,0,0,0,"0",NA,0,0,42.6885948181152,"POSSESSION OF NARCOTICS",446.251312255859,2.77044534683228
1,0,0,0,0,"0",1,0,0,24.1375942230225,"POSSESSION OF NARCOTICS",239.12971496582,2.7555935382843
1,0,0,0,0,"0",0,0,0,42.4994468688965,"POSSESSION OF NARCOTICS",132.943023681641,0.771267354488373
3,0,1,1,0,"0",1,1,0,41.9333839416504,"ASSAULT ON POLICE OR FIRE OFFICER",250.875350952148,0.441684693098068
2,1,0,1,0,"0",0,1,0,49.7141227722168,"CRIM VIOL OF PROTECTIVE ORDER",35.5613288879395,3.3864541053772
1,0,0,0,0,"0",0,0,0,31.2402210235596,"POSSESSION OF NARCOTICS",177.280212402344,2.89749717712402
3,0,1,1,0,"0",1,1,0,29.3653545379639,"CRIM VIOL OF PROTECTIVE ORDER",634.173461914062,1.39385282993317
2,1,0,1,0,"0",0,1,0,24.7590103149414,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE",442.031555175781,0.479363203048706
3,0,1,1,0,"0",NA,0,1,23.1939888000488,"BURGLARY, THIRD DEGREE",349.373962402344,0.946349382400513
2,1,0,1,0,"0",0,0,0,23.5854568481445,"BURGLARY, THIRD DEGREE",589.340515136719,1.68784952163696
3,0,1,1,0,"0",NA,0,0,26.3082447052002,"CARRYING WEAPONS WITHOUT A PERMIT",345.179595947266,3.15831923484802
1,0,0,0,0,"0",0,0,0,56.3262596130371,"STRANGULATION 2ND DEGREE",111.224319458008,2.78274989128113
1,0,0,0,0,"0",0,0,0,42.7353820800781,"SALE OF CONTROLLED SUBSTANCE",406.684112548828,1.27765834331512
3,0,1,1,0,"0",0,1,0,32.0405311584473,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE",765.111999511719,1.09594023227692
3,0,1,1,0,"0",NA,0,0,24.0745697021484,"BURGLARY, THIRD DEGREE",477.101715087891,2.33259415626526
3,0,1,1,0,"0",0,0,0,47.5662040710449,"ROBBERY, THIRD DEGREE",21.6148662567139,2.4326605796814
2,1,0,1,0,"0",0,1,0,47.9958992004395,"ROBBERY, THIRD DEGREE",228.580825805664,2.56291556358337
1,0,0,0,0,"0",0,0,0,35.3161506652832,"CRIM VIOL OF PROTECTIVE ORDER",479.322265625,0.382549911737442
3,0,1,1,0,"0",0,0,0,31.894983291626,"LARCENY, THIRD DEGREE",377.215972900391,2.55804181098938
3,0,1,1,0,"0",0,1,0,32.3530387878418,"SALE OF CONTROLLED SUBSTANCE",211.448059082031,1.03589022159576
3,0,1,1,0,"0",0,0,0,23.9716701507568,"ROBBERY, SECOND DEGREE",101.923950195312,1.82849812507629
1,0,0,0,0,"0",NA,0,0,20.7467670440674,"BURGLARY, THIRD DEGREE",252.458190917969,1.44249427318573
3,0,1,1,0,"0",0,0,0,21.8554630279541,"BURGLARY, THIRD DEGREE",578.789611816406,1.2243766784668
2,1,0,1,0,"0",0,0,0,46.1827735900879,"POSSESSION OF NARCOTICS",231.023635864258,1.86672735214233
3,0,1,1,0,"0",0,0,0,24.1159648895264,"ASSAULT, SECOND DEGREE",252.934265136719,1.1785831451416
1,0,0,0,0,"0",0,0,0,24.0491905212402,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE",618.458618164062,1.04343342781067
1,0,0,0,0,"0",0,0,0,53.6643333435059,"STRANGULATION 2ND DEGREE",174.016036987305,0.371103882789612
2,1,0,1,0,"0",0,0,0,22.6673393249512,"ASSAULT, SECOND DEGREE",114.757766723633,1.60820424556732
3,0,1,1,0,"0",NA,0,1,21.7495651245117,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE",643.4150390625,0.862085223197937
3,0,1,1,0,"0",NA,1,0,29.167501449585,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE",479.018280029297,3.05171585083008
3,0,1,1,0,"0",NA,1,0,43.330192565918,"LARCENY, THIRD DEGREE",306.781341552734,3.04311084747314
3,0,1,1,0,"0",NA,0,0,52.8894538879395,"CARRYING WEAPON IN A MOTOR VEHICLE",191.238952636719,3.39147663116455
3,0,1,1,0,"0",0,0,0,43.7229957580566,"CRIM VIOL ST CRIM RESTR ORDER",393.901519775391,1.00269842147827
1,0,0,0,0,"0",0,0,0,42.0267028808594,"POSSESSION OF NARCOTICS",202.664993286133,0.360428124666214
2,1,0,1,0,"0",0,1,0,25.1480922698975,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE",264.487945556641,1.27839517593384
1,0,0,0,0,"0",0,0,0,31.8004970550537,"ASSAULT, SECOND DEGREE",303.132232666016,2.61795568466187
3,0,1,1,0,"0",0,0,0,30.7384948730469,"LARCENY, THIRD DEGREE",345.569091796875,2.12538480758667
1,0,0,0,0,"0",0,0,0,53.6159553527832,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE",501.228424072266,0.374658703804016
2,1,0,1,1,"0",0,1,0,32.9705543518066,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE",546.478393554688,1.49273359775543
1,0,0,0,0,"0",NA,0,0,52.797420501709,"SALE OF CONTROLLED SUBSTANCE",244.495712280273,3.25979423522949
1,0,0,0,0,"0",0,0,0,60.5348815917969,"POSSESSION OF NARCOTICS",217.379852294922,0.979104161262512
3,0,1,1,0,"0",0,0,0,50.3789367675781,"LARCENY, THIRD DEGREE",642.888427734375,1.05586588382721
1,0,0,0,0,"0",0,0,0,29.4185676574707,"LARCENY, FIRST DEGREE",669.956604003906,1.13937592506409
1,0,0,0,0,"0",NA,0,0,31.867654800415,"POSSESSION OF NARCOTICS",609.044067382812,3.08994483947754
2,1,0,1,0,"0",0,1,0,23.1310596466064,"ROBBERY, THIRD DEGREE",435.356018066406,1.80026030540466
2,1,0,1,0,"0",0,0,0,31.327917098999,"CRIM VIOL OF PROTECTIVE ORDER",27.6911849975586,0.897372663021088
3,0,1,1,0,"0",0,1,0,31.8633136749268,"ROBBERY, SECOND DEGREE",70.2174301147461,1.49277639389038
3,0,1,1,0,"0",0,0,0,46.7535591125488,"ASSAULT, SECOND DEGREE",355.389739990234,1.00305104255676
1,0,0,0,0,"0",0,0,0,36.8450622558594,"POSSESSION OF NARCOTICS",348.207000732422,1.31900775432587
3,0,1,1,0,"0",0,1,0,22.7135314941406,"BURGLARY, THIRD DEGREE",624.796325683594,0.7422935962677
2,1,0,1,0,"0",0,0,0,55.2573471069336,"POSSESSION OF NARCOTICS",86.4029846191406,3.22453427314758
1,0,0,0,0,"0",0,0,0,26.9149227142334,"ROBBERY, THIRD DEGREE",99.4869689941406,0.551182150840759
1,0,0,0,0,"0",0,0,0,34.9220886230469,"CRIM VIOL OF PROTECTIVE ORDER",591.63037109375,0.913259983062744
1,0,0,0,0,"0",0,0,0,44.5292816162109,"LARCENY, THIRD DEGREE",194.55451965332,1.44850480556488
1,0,0,0,1,"0",0,0,0,52.2392196655273,"UNLAWFUL RESTRAINT, FIRST DEGREE",508.182678222656,1.60502338409424
1,0,0,0,0,"0",1,0,0,27.1905193328857,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE",294.647430419922,2.04333353042603
2,1,0,1,0,"0",0,0,0,29.3332557678223,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE",322.135437011719,1.84576153755188
2,1,0,1,1,"1",0,0,0,39.8167419433594,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE",514.338562011719,0.677855551242828
3,0,1,1,0,"0",0,1,0,29.7399597167969,"CRIM VIOL ST CRIM RESTR ORDER",477.070434570312,0.680070400238037
1,0,0,0,0,"0",0,0,0,42.302303314209,"POSSESSION OF NARCOTICS",292.973236083984,0.670965313911438
2,1,0,1,0,"0",0,1,0,55.8459434509277,"POSSESSION OF NARCOTICS",155.276290893555,2.57588195800781
1,0,0,0,1,"0",0,0,0,33.8663673400879,"CRIMINAL POSSESSION OF A PISTOL",613.588073730469,1.42159914970398
1,0,0,0,0,"0",0,0,0,24.9071197509766,"CRIM VIOL OF PROTECTIVE ORDER",525.011169433594,1.16594111919403
1,0,0,0,0,"0",0,0,0,52.3867645263672,"BURGLARY, THIRD DEGREE",488.344299316406,0.65993058681488
3,0,1,1,0,"0",0,0,0,44.9108619689941,"STRANGULATION 2ND DEGREE",117.134765625,1.21236550807953
1,0,0,0,0,"0",1,0,0,24.0335941314697,"ROBBERY, SECOND DEGREE",229.171981811523,0.71046245098114
2,1,0,1,0,"0",NA,1,0,51.1702537536621,"POSSESSION OF NARCOTICS",350.4453125,2.60761857032776
3,0,1,1,0,"0",0,0,0,39.8631896972656,"POSSESSION OF NARCOTICS",126.200546264648,1.518430352211
1,0,0,0,0,"0",0,0,0,26.5554981231689,"UNLAWFUL RESTRAINT, FIRST DEGREE",545.701171875,1.39574527740479
3,0,1,1,0,"0",0,0,0,37.5797119140625,"CRIM VIOL OF PROTECTIVE ORDER",201.995559692383,1.70409631729126
3,0,1,1,0,"0",NA,0,0,24.047342300415,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE",538.41064453125,2.47251176834106
3,0,1,1,0,"0",0,0,0,26.1504745483398,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE",470.444061279297,1.84942436218262
1,0,0,0,0,"0",0,0,0,28.411226272583,"SALE OF NARC/AMPHET BY NON-DEPENDENT",419.135314941406,1.04417335987091
2,1,0,1,1,"1",0,1,0,28.5997409820557,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE",610.438415527344,0.497668445110321
1,0,0,0,0,"0",0,0,0,36.8137817382812,"LARCENY, THIRD DEGREE",306.051788330078,1.79579329490662
2,1,0,1,0,"0",0,0,0,26.627571105957,"CRIM VIOL OF PROTECTIVE ORDER",419.521240234375,0.70365583896637
1,0,0,0,0,"0",0,0,0,30.3061447143555,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE",1085.884765625,0.340547353029251
1,0,0,0,0,"0",NA,0,0,44.6330108642578,"CARRYING WEAPONS WITHOUT A PERMIT",926.9189453125,3.2760272026062
1,0,0,0,0,"0",NA,0,0,31.6355419158936,"CRIM VIOL OF PROTECTIVE ORDER",1063.45629882812,1.73064506053925
1,0,0,0,0,"0",0,0,0,30.0128288269043,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE",483.002502441406,0.801095306873322
2,1,0,1,0,"0",0,0,0,51.6578750610352,"LARCENY, THIRD DEGREE",607.43701171875,1.21690618991852
1,0,0,0,0,"0",NA,0,0,20.900505065918,"ROBBERY, SECOND DEGREE",257.637756347656,1.24576425552368
2,1,0,1,0,"0",0,0,0,45.8286476135254,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE",271.665252685547,1.72722923755646
1,0,0,0,0,"0",NA,0,0,38.7768859863281,"POSSESSION OF NARCOTICS",635.173950195312,3.15337920188904
1,0,0,0,0,"0",0,0,0,34.1662979125977,"CRIM VIOL OF PROTECTIVE ORDER",572.035766601562,1.4783102273941
2,1,0,1,0,"0",0,0,0,27.1678810119629,"LARCENY, FIRST DEGREE",404.506683349609,1.84349858760834
1,0,0,0,0,"0",0,0,0,37.24609375,"FORGERY, SECOND DEGREE",433.776062011719,0.601625680923462
1,0,0,0,0,"0",NA,0,0,22.2074489593506,"ROBBERY, THIRD DEGREE",98.1744232177734,2.97643899917603
1,0,0,0,0,"0",0,0,0,31.8087749481201,"CRIM VIOL OF PROTECTIVE ORDER",136.457809448242,1.87465560436249
2,1,0,1,0,"0",0,0,0,31.3827705383301,"FAILURE TO APPEAR, FIRST DEGREE",27.485652923584,1.81264686584473
1,0,0,0,0,"0",0,0,0,43.6459274291992,"ESCAPE, FIRST DEGREE",109.6708984375,2.0560781955719
1,0,0,0,0,"0",0,0,0,29.6672172546387,"POSSESSION OF NARCOTICS",734.155578613281,0.627335906028748
2,1,0,1,0,"0",1,0,0,39.2294235229492,"FORGERY, SECOND DEGREE",369.172302246094,1.01285922527313
3,0,1,1,0,"0",0,0,0,30.296802520752,"CRIM VIOL OF PROTECTIVE ORDER",66.5652694702148,0.526165902614594
2,1,0,1,0,"0",NA,1,0,25.0360260009766,"ROBBERY, SECOND DEGREE",275.805389404297,3.08025312423706
3,0,1,1,0,"0",0,0,0,43.5235366821289,"BURGLARY, THIRD DEGREE",89.7728576660156,1.42824065685272
3,0,1,1,0,"0",0,0,0,30.0316619873047,"CARRYING WEAPON IN A MOTOR VEHICLE",169.202484130859,0.450013726949692
2,1,0,1,0,"0",0,1,0,49.6525268554688,"CRIM VIOL OF PROTECTIVE ORDER",28.5660152435303,2.57561588287354
1,0,0,0,0,"0",0,0,0,35.4186210632324,"BURGLARY, THIRD DEGREE",25.0737400054932,0.559996485710144
1,0,0,0,0,"0",0,0,1,23.0442180633545,"ROBBERY, SECOND DEGREE",368.3330078125,1.12099826335907
1,0,0,0,0,"0",NA,0,0,23.7778282165527,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE",551.368469238281,2.25433611869812
3,0,1,1,0,"0",0,1,0,25.6242618560791,"BURGLARY, THIRD DEGREE",18.6972026824951,1.2340931892395
2,1,0,1,0,"0",NA,0,0,21.6942329406738,"LARCENY, THIRD DEGREE",126.236999511719,0.463148295879364
1,0,0,0,0,"0",0,0,0,55.2704811096191,"BURGLARY, THIRD DEGREE",317.450775146484,0.531105756759644
1,0,0,0,0,"0",0,0,0,24.4119606018066,"POSSESSION OF NARCOTICS",254.478912353516,0.36470302939415
2,1,0,1,0,"0",0,1,0,55.3353691101074,"POSSESSION OF NARCOTICS",107.205047607422,2.68009376525879
1,0,0,0,0,"0",0,0,0,21.9340648651123,"SALE OF CONTROLLED SUBSTANCE",152.750549316406,1.80083048343658
2,1,0,1,0,"0",0,1,0,52.1413726806641,"POSSESSION OF NARCOTICS",108.052886962891,2.94675421714783
3,0,1,1,1,"1",1,0,0,34.5171051025391,"CRIM VIOL OF PROTECTIVE ORDER",103.173362731934,1.04570412635803
2,1,0,1,0,"0",0,0,0,33.2377281188965,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE",495.325561523438,0.813871264457703
3,0,1,1,1,"0",NA,0,0,21.34792137146,"LARCENY, FIRST DEGREE",417.363311767578,0.893498718738556
1,0,0,0,0,"0",0,0,0,50.3920059204102,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE",363.008117675781,1.06359827518463
2,1,0,1,0,"0",0,0,0,38.0112724304199,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE",535.312866210938,1.22050988674164
2,1,0,1,0,"0",0,1,0,30.9013442993164,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE",4.67447662353516,3.35562038421631
1,0,0,0,0,"0",NA,0,0,33.1399345397949,"SALE OF CONTROLLED SUBSTANCE",570.846374511719,3.27659559249878
1,0,0,0,0,"0",NA,0,0,36.4607772827148,"UNLAWFUL RESTRAINT, FIRST DEGREE",662.931518554688,2.22801876068115
2,1,0,1,0,"0",0,0,0,43.016471862793,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE",494.170684814453,0.442554622888565
1,0,0,0,0,"0",NA,0,0,52.0325317382812,"POSSESSION OF NARCOTICS",191.62614440918,3.41638159751892
3,0,1,1,0,"0",0,1,0,27.5269794464111,"UNLAWFUL RESTRAINT, FIRST DEGREE",242.990447998047,0.403565406799316
1,0,0,0,0,"0",NA,0,0,22.0998821258545,"LARCENY, THIRD DEGREE",305.328155517578,0.518592953681946
2,1,0,1,0,"0",0,0,0,36.35888671875,"CRIM VIOL OF PROTECTIVE ORDER",129.03254699707,0.494825661182404
2,1,0,1,0,"0",0,0,0,33.731143951416,"CRIM VIOL OF PROTECTIVE ORDER",124.322052001953,1.47197616100311
3,0,1,1,0,"0",0,1,0,27.61669921875,"CRIM VIOL OF PROTECTIVE ORDER",118.454071044922,0.970663011074066
2,1,0,1,0,"0",0,0,0,44.176830291748,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE",127.92414855957,1.81063115596771
1,0,0,0,0,"0",NA,0,0,49.193531036377,"CRIM VIOL OF PROTECTIVE ORDER",690.160827636719,1.75225520133972
1,0,0,0,0,"0",0,0,0,24.6658668518066,"CRIM VIOL OF PROTECTIVE ORDER",252.971237182617,0.445288121700287
2,1,0,1,0,"0",0,1,0,24.7752704620361,"POSSESSION OF NARCOTICS",581.268432617188,0.806171894073486
3,0,1,1,0,"0",0,0,0,30.4851226806641,"BURGLARY, THIRD DEGREE",80.151611328125,0.932458519935608
3,0,1,1,0,"0",0,0,0,42.1850395202637,"ASSAULT ON POLICE OR FIRE OFFICER",145.041046142578,2.54396843910217
1,0,0,0,0,"0",0,0,0,32.3331604003906,"LARCENY, THIRD DEGREE",64.1569900512695,1.32414066791534
1,0,0,0,0,"0",0,0,0,53.1047248840332,"POSSESSION OF NARCOTICS",179.356109619141,2.4360363483429
2,1,0,1,0,"0",0,1,0,25.6053943634033,"BURGLARY, THIRD DEGREE",302.530792236328,2.59347581863403
2,1,0,1,1,"1",NA,0,0,25.3765449523926,"ROBBERY, THIRD DEGREE",823.848388671875,2.78878974914551
2,1,0,1,0,"0",NA,0,0,57.5590324401855,"LARCENY, THIRD DEGREE",631.147583007812,2.34743475914001
2,1,0,1,0,"0",NA,1,0,30.1715183258057,"BURGLARY, THIRD DEGREE",804.583801269531,1.83847999572754
2,1,0,1,0,"0",0,0,0,33.7809028625488,"POSSESSION OF NARCOTICS",176.691909790039,1.15882289409637
3,0,1,1,0,"0",0,1,0,28.9198741912842,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE",620.637817382812,0.783170819282532
3,0,1,1,0,"0",0,1,0,55.291259765625,"POSSESSION OF NARCOTICS",45.9598388671875,0.648058891296387
2,1,0,1,0,"0",NA,0,0,21.6609172821045,"SALE OF CONTROLLED SUBSTANCE",22.3475723266602,2.53331160545349
1,0,0,0,0,"0",0,0,0,45.0716819763184,"POSSESSION OF NARCOTICS",164.19270324707,2.57271385192871
1,0,0,0,1,"0",NA,0,0,21.3989086151123,"POSSESSION OF NARCOTICS",28.5477294921875,2.67118191719055
2,1,0,1,0,"0",0,1,0,37.2628707885742,"CARRYING WEAPON IN A MOTOR VEHICLE",465.969116210938,1.85552060604095
1,0,0,0,0,"0",0,0,0,24.9736824035645,"SALE OF CONTROLLED SUBSTANCE",238.430358886719,1.67574894428253
1,0,0,0,0,"0",0,0,0,34.227897644043,"POSSESSION OF NARCOTICS",328.418304443359,1.80906915664673
2,1,0,1,0,"0",0,0,0,41.1182594299316,"BURGLARY, THIRD DEGREE",402.202880859375,0.833730220794678
